ALBUM_ID, TITLE, YEAR, NO_SONGS
1, TROPICOQUETA, 2025, 20
2, MANANA_SERA_BONITO, 2023, 17
3, KG0516, 2021, 17,
4, OCEAN, 2019, 16,
5, UNSTOPPABLE, 2017, 13
6, RAINIER_FOG, 2018, 10
7, THE_DEVIL_PUT_DINOSAURS_HERE, 2013, 12
8, BLACK_GIVES_WAY_TO_BLUE, 2009, 13
9, ALICE_IN_CHAINS, 1995, 12
10, DIRT, 1992, 13
11, FACELIFT, 1990, 12
12, moisturizer, 2025, 12
13, wet_leg, 2022, 12 
14, can't_rush_greatness, 2025, 17
15, 23, 2022, 15
16, wild_west, 2021, 14
17, 17, 2017, 8  
18, att., 2024, 17
19, trap_kitty, 2022, 9
